id	Stato	Regione	Provincia	Comune	value
L535	Italia	Lombardia	Cremona	Vaiano Cremasco	1971
L539	Italia	Lombardia	Cremona	Vailate	2250
L544	Italia	Lombardia	Bergamo	Valbondione	521
L545	Italia	Lombardia	Bergamo	Valbrembo	1450
L547	Italia	Lombardia	Como	Valbrona	1408
L557	Italia	Lombardia	Sondrio	Valdidentro	3588
L563	Italia	Lombardia	Sondrio	Valdisotto	3340
L572	Italia	Lombardia	Lodi	Valera Fratta	1181
L576	Italia	Lombardia	Sondrio	Valfurva	3400
L577	Italia	Lombardia	Varese	Valganna	569
L581	Italia	Lombardia	Lecco	Valgreghentino	1201
L593	Italia	Lombardia	Pavia	Valle Lomellina	1084
L617	Italia	Lombardia	Pavia	Valle Salimbene	600
L626	Italia	Lombardia	Brescia	Vallio Terme	596
L634	Italia	Lombardia	Lecco	Valmadrera	5815
L640	Italia	Lombardia	Como	Valmorea	758
L664	Italia	Lombardia	Milano	Vanzaghello	2213
L665	Italia	Lombardia	Milano	Vanzago	4150
L667	Italia	Lombardia	Milano	Vaprio d'Adda	4858
L671	Italia	Lombardia	Varese	Varano Borghi	1216
L677	Italia	Lombardia	Monza e della Brianza	Varedo	7096
L682	Italia	Lombardia	Varese	Varese	44123
L690	Italia	Lombardia	Pavia	Varzi	1471
L703	Italia	Lombardia	Varese	Vedano Olona	3097
L704	Italia	Lombardia	Monza e della Brianza	Vedano al Lambro	3323
L709	Italia	Lombardia	Monza e della Brianza	Veduggio con Colzano	2064
L720	Italia	Lombardia	Pavia	Vellezzo Bellini	1460
L733	Italia	Lombardia	Varese	Venegono Inferiore	2951
L734	Italia	Lombardia	Varese	Venegono Superiore	3624
L737	Italia	Lombardia	Como	Veniano	1295
L744	Italia	Lombardia	Monza e della Brianza	Verano Brianza	4073
L749	Italia	Lombardia	Sondrio	Verceia	606
L751	Italia	Lombardia	Lecco	Vercurago	1201
L752	Italia	Lombardia	Bergamo	Verdellino	6350
L753	Italia	Lombardia	Bergamo	Verdello	4177
L755	Italia	Lombardia	Lecco	Verderio Inferiore	1204
L756	Italia	Lombardia	Lecco	Verderio Superiore	2001
L765	Italia	Lombardia	Varese	Vergiate	4560
L768	Italia	Lombardia	Milano	Vermezzo	1902
L773	Italia	Lombardia	Milano	Vernate	1487
L777	Italia	Lombardia	Brescia	Verolanuova	4689
L778	Italia	Lombardia	Brescia	Verolavecchia	2066
L788	Italia	Lombardia	Pavia	Verrua Po	640
L792	Italia	Lombardia	Como	Vertemate con Minoprio	1476
L795	Italia	Lombardia	Bergamo	Vertova	1706
L806	Italia	Lombardia	Cremona	Vescovato	2064
L812	Italia	Lombardia	Brescia	Vestone	2579
L816	Italia	Lombardia	Brescia	Vezza d'Oglio	725
L826	Italia	Lombardia	Mantova	Viadana	10199
L827	Italia	Lombardia	Bergamo	Viadanica	589
L854	Italia	Lombardia	Pavia	Vidigulfo	2884
L865	Italia	Lombardia	Bergamo	Vigano San Martino	620
L866	Italia	Lombardia	Lecco	Vigano'	754
L872	Italia	Lombardia	Pavia	Vigevano	33267
L876	Italia	Lombardia	Varese	Viggiu'	1328
L883	Italia	Lombardia	Milano	Vignate	4944
